	host species	locality	season	year	case	Dper	Dcon	Fgib	Scep	Sacsp	Scur	Sobe	Sten	Sbra	Hben	Hspl	Sspa	Lput	Lesp	Leco	Spap	Sdim	Smin	Aadr	Nper	Cbio	Lmed	Lcep	Lcha	Limi	Lszi	Lcon	Lvan	Mcep	Erge
4CEDS04	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0
4CEDS05	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	151	1	2	6	1	0	0	0	0	0	0
4CEDS06	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	8	4	0	1	0	0	0	0	0	1	0
4CEDS07	Mc	EDS	A	2005	2	0	0	0	3	6	1	0	0	0	0	8	0	0	0	0	0	22	3	0	1	0	0	1	0	0	0	0	0	0	0
4CEDS08	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	8	1	0	0	0	0	0	0
4CEDS09	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	6	1	0	0	0	0	0	0
4CEDS10	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	5	0	1	5	1	0	0	0	0	0	0
4CEDS11	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	2	1	0	0	0	0	0	0	0	0	0
4CEDS12	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	1	3	0	0	0	0	0	0	0
4CEDS13	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	8	0	4	0	8	28	4	0	0	0	0	0	0
4CEDS14	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	27	0	13	0	0	0	0	0	0	0	0	0	0
